,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
103,Yining,0,CN,1565886753,80,29.04,114.56,73.42,1.3
104,Mayo,40,CA,1565886754,58,63.59,-135.9,59.0,9.17
105,Gazli,0,UZ,1565886755,21,40.13,63.45,72.7,7.72
106,Adrar,0,DZ,1565886632,7,27.87,-0.29,114.8,11.41
107,Sitka,0,US,1565886755,36,37.17,-99.65,89.01,11.01
108,Lingao,0,CN,1565886756,81,19.91,109.69,84.94,9.75
109,Progreso,0,UY,1565886756,58,-34.68,-56.22,57.99,13.87
110,Saint-Pierre,0,FR,1565886756,56,48.95,4.24,72.0,17.22
111,Mezen,100,RU,1565886757,96,65.85,44.24,55.06,5.5
112,Tiarei,20,PF,1565886758,78,-17.53,-149.33,71.6,3.36
113,Touros,75,BR,1565886758,74,-5.2,-35.46,80.6,16.11
114,Onega,100,RU,1565886759,85,63.91,38.09,54.34,7.07
115,Ilulissat,75,GL,1565886759,75,69.22,-51.1,44.6,6.93
116,Ugoofaaru,86,MV,1565886760,75,5.67,73.0,83.14,8.93
117,Vaini,61,IN,1565886699,93,15.34,74.49,76.66,5.68
118,Basugaon,100,IN,1565886761,95,26.47,90.4,78.1,2.93
119,Camacha,75,PT,1565886761,73,33.08,-16.33,78.8,16.11
120,Wairoa,7,NZ,1565886762,93,-39.04,177.43,37.0,4.0
121,Tazovskiy,28,RU,1565886762,70,67.47,78.7,56.14,11.79
122,Colares,0,PT,1565886762,45,38.8,-9.45,89.6,27.51
123,Mporokoso,0,ZM,1565886763,45,-9.37,30.12,66.4,11.72
124,Torata,90,EC,1565886763,88,-3.6,-79.89,89.6,6.51
125,Upernavik,0,GL,1565886749,79,72.79,-56.15,42.64,8.28
126,Tasiilaq,75,GL,1565886764,81,65.61,-37.64,44.6,8.05
127,San Patricio,8,PY,1565886704,56,-26.98,-56.83,72.34,4.36
128,Ribeira Grande,40,PT,1565886764,78,38.52,-28.7,77.0,9.17
129,Severo-Kurilsk,100,RU,1565886715,97,50.68,156.12,48.04,15.61
130,Kamaishi,89,JP,1565886765,99,39.28,141.86,71.44,5.99
131,East London,0,ZA,1565886722,77,-33.02,27.91,64.4,5.82
132,Zhezkazgan,75,KZ,1565886766,87,47.8,67.71,55.4,6.71
133,Bambous Virieux,40,MU,1565886767,73,-20.34,57.76,71.6,5.82
134,Launceston,75,AU,1565886767,93,-41.43,147.14,50.0,13.87
135,Saskylakh,94,RU,1565886696,65,71.97,114.09,46.96,5.55
136,Mount Isa,0,AU,1565886768,46,-20.73,139.49,53.6,8.63
137,Praia da Vitoria,40,PT,1565886736,65,38.73,-27.07,78.8,10.25
138,Solnechnyy,100,RU,1565886768,98,50.72,136.64,56.68,6.31
139,Lakatoro,50,VU,1565886769,76,-16.11,167.42,77.74,12.19
140,Mehamn,75,NO,1565886769,87,71.03,27.85,50.0,6.93
141,Areosa,0,PT,1565886770,78,41.72,-8.86,86.0,14.99
142,Kavaratti,80,IN,1565886770,80,10.57,72.64,82.06,18.01
143,Severo-Yeniseyskiy,0,RU,1565886770,94,60.37,93.04,52.18,1.81
144,Mahebourg,40,MU,1565886771,73,-20.41,57.7,71.6,5.82
145,Singaraja,81,ID,1565886771,69,-8.11,115.08,77.56,8.34
146,Vostok,100,RU,1565886772,97,46.45,135.83,62.44,4.27
147,Dikson,100,RU,1565886772,100,73.51,80.55,44.26,5.12
148,Marquette,40,US,1565886772,37,46.54,-87.4,75.0,1.12
149,Kalyan,75,IN,1565886773,83,19.24,73.14,82.4,8.05
150,Cabo San Lucas,75,MX,1565886644,51,22.89,-109.91,89.6,2.24
151,Santa Fe,96,AR,1565886675,55,-31.62,-60.7,63.0,3.0
152,Vila Franca do Campo,20,PT,1565886698,73,37.72,-25.43,75.2,8.05
153,Okha,100,RU,1565886774,90,53.59,142.95,50.92,9.24
154,Portsmouth,20,GB,1565886544,52,50.8,-1.08,72.0,12.75
155,Banda Aceh,100,ID,1565886589,76,5.56,95.32,83.58,18.61
156,Faya,40,SA,1565886775,78,18.39,42.45,75.2,8.05
157,Nuuk,75,GL,1565886776,81,64.17,-51.74,44.6,12.75
158,Yerbogachen,38,RU,1565886776,93,61.28,108.01,52.54,6.4
159,Provideniya,98,RU,1565886777,91,64.42,-173.23,47.5,1.7
160,Montepuez,14,MZ,1565886777,37,-13.13,39.0,75.58,5.93
161,Leningradskiy,100,RU,1565886771,94,69.38,178.42,37.24,14.9
162,Chuy,100,UY,1565886611,80,-33.69,-53.46,55.78,7.23
163,Rocha,100,UY,1565886778,75,-34.48,-54.34,56.32,6.82
164,Vredendal,0,ZA,1565886778,76,-31.68,18.49,62.26,20.56
165,Orlik,0,PL,1565886779,35,53.95,17.74,73.0,5.82
166,Berlevag,75,NO,1565886779,87,70.86,29.09,50.0,6.93
167,Pevek,100,RU,1565886779,95,69.7,170.27,32.02,15.43
168,Mehran,0,IR,1565886780,21,33.12,46.17,89.6,4.7
169,Requena,20,ES,1565886780,58,39.49,-1.1,89.01,11.41
170,Sao Joao da Barra,75,BR,1565886781,46,-21.64,-41.05,73.4,13.87
171,Kalabo,0,ZM,1565886781,18,-15.0,22.67,68.2,7.14
172,Lorengau,96,PG,1565886781,85,-2.02,147.27,77.38,6.8
173,Grand Gaube,40,MU,1565886782,73,-20.01,57.66,71.6,5.82
174,Myronivka,85,UA,1565886783,74,49.66,30.98,63.34,11.34
175,Nuevo Progreso,90,US,1565886783,49,26.05,-97.95,93.2,10.29
176,Hedaru,38,TZ,1565886784,65,-4.5,37.91,68.56,14.61
177,Luderitz,0,NA,1565886606,13,-26.65,15.16,91.4,10.29
178,Victoria,75,BN,1565886784,94,5.28,115.24,78.01,4.7
179,Udachnyy,90,RU,1565886785,93,66.42,112.4,46.4,8.95
180,Lompoc,75,US,1565886645,100,34.64,-120.46,68.0,3.36
181,Half Moon Bay,1,US,1565886786,60,37.46,-122.43,82.99,4.76
182,Hami,89,CN,1565886786,13,42.84,93.51,89.26,23.82
183,Fortuna,90,US,1565886786,100,40.6,-124.16,61.0,4.7
184,Saint-Georges,0,CA,1565886787,54,46.12,-70.67,70.0,5.01
185,Kodiak,1,US,1565886715,61,39.95,-94.76,81.0,4.7
186,Matagami,91,NG,1565886787,95,9.67,8.4,70.36,1.81
187,Mar del Plata,74,AR,1565886723,50,-46.43,-67.52,41.38,17.16
188,Marovoay,40,MG,1565886788,74,-16.11,46.64,78.8,8.05
189,Agogo,34,GH,1565886788,70,6.8,-1.08,78.82,2.95
190,Manzhouli,100,CN,1565886789,53,49.6,117.43,58.66,11.43
191,Hasaki,75,JP,1565886782,88,35.73,140.83,82.4,16.11
192,Cidreira,67,BR,1565886761,62,-30.17,-50.22,63.16,11.79
193,Bilibino,95,RU,1565886789,93,68.06,166.44,32.38,1.77
194,Mogadishu,45,SO,1565886652,79,2.04,45.34,75.58,16.33
195,The Valley,75,AI,1565886790,74,18.22,-63.06,90.0,16.11
196,Rome,0,IT,1565886663,51,41.89,12.48,87.01,13.87
197,Pundaguitan,93,PH,1565886791,83,6.37,126.17,80.26,13.09
198,Namatanai,84,PG,1565886741,82,-3.66,152.44,78.28,9.01
199,Doha,0,QA,1565886491,71,25.29,51.53,100.4,9.17
200,Esperance,0,AU,1565886781,93,-33.86,121.89,44.6,8.05
201,Kutum,83,SD,1565886792,65,14.2,24.66,76.84,13.27
202,Esil,66,KZ,1565886792,80,51.96,66.41,63.34,10.56
203,Quatre Cocos,40,MU,1565886792,73,-20.21,57.76,71.6,5.82
204,Yatou,75,CM,1565886793,83,3.63,9.81,80.6,4.7
205,Suclayin,100,PH,1565886793,93,15.76,121.55,70.54,3.91
206,Artyom,75,RU,1565886794,100,43.36,132.19,68.0,4.47
207,Cabedelo,75,BR,1565886794,69,-6.97,-34.84,82.4,18.34
208,Carnarvon,0,ZA,1565886709,16,-30.97,22.13,64.06,9.31
209,Bandarbeyla,0,SO,1565886795,66,9.49,50.81,74.86,27.87
210,Tongzi,0,CN,1565886795,67,28.78,105.09,76.12,1.79
211,Te Anau,100,NZ,1565886796,83,-45.41,167.72,45.88,11.74
212,Port Lincoln,29,AU,1565886796,89,-34.72,135.86,57.22,13.65
213,Nome,40,US,1565886689,62,30.04,-94.42,91.0,5.68
214,Matamoros,75,US,1565886797,56,25.87,-97.51,93.2,8.05
215,Kachug,100,RU,1565886798,85,53.96,105.89,48.4,2.24
216,Longyearbyen,75,NO,1565886798,95,78.22,15.63,37.4,16.11
217,Tuatapere,100,NZ,1565886799,82,-46.13,167.69,45.0,7.0
218,Castro,90,CL,1565886703,93,-42.48,-73.76,46.4,11.41
219,Mackay,40,CA,1565886799,63,53.65,-115.58,66.2,9.17
220,Atar,27,MR,1565886800,17,20.52,-13.05,107.44,11.01
221,Hoquiam,90,US,1565886800,88,46.98,-123.89,66.99,4.7
222,Pisco,90,PE,1565886609,30,-13.71,-76.2,71.6,8.05
223,Acapulco,75,MX,1565886801,70,16.86,-99.88,87.8,4.7
224,Shenjiamen,0,CN,1565886802,76,29.96,122.3,82.42,5.55
225,Fort Nelson,90,CA,1565886802,93,58.81,-122.69,59.0,3.36
226,Makasar,20,ID,1565886803,78,-6.28,106.88,80.01,9.17
227,Avera,40,US,1565886803,74,33.19,-82.53,91.0,4.7
228,Malanje,0,AO,1565886803,14,-9.54,16.35,76.12,4.25
229,Waingapu,39,ID,1565886804,94,-9.65,120.26,65.86,7.02
230,Lasa,40,CY,1565886804,66,34.92,32.53,84.2,3.36
231,Ormara,23,PK,1565886805,81,25.21,64.64,80.8,8.79
232,Mount Gambier,90,AU,1565886805,54,-37.83,140.78,55.4,11.41
233,Villarrica,75,CL,1565886805,81,-39.28,-72.23,52.0,2.24
234,Tshela,62,CD,1565886806,72,-4.99,12.94,74.14,6.42
235,Puri,68,ID,1565886806,77,-7.54,112.45,71.98,11.48
236,Bandundu,79,CD,1565886807,35,-3.32,17.38,87.46,1.7
237,Ryotsu,100,JP,1565886807,66,38.08,138.43,86.0,4.7
238,Axim,11,GH,1565886807,88,4.87,-2.24,75.94,8.48
239,Bredasdorp,0,ZA,1565886740,77,-34.53,20.04,62.6,6.93
240,Dargaville,100,NZ,1565886808,66,-35.94,173.86,54.88,12.97
241,Iqaluit,90,CA,1565886809,93,63.75,-68.52,41.0,4.7
242,Huarmey,47,PE,1565886699,92,-10.07,-78.15,60.82,11.34
243,Tiksi,99,RU,1565886652,91,71.64,128.87,42.28,12.55
244,San Cristobal,100,HN,1565886810,41,14.68,-86.92,85.84,9.6
245,Andreapol,83,RU,1565886810,80,56.65,32.27,52.54,2.53
246,Katsuura,75,JP,1565886741,88,33.93,134.5,82.4,12.75
247,San Matias,0,BO,1565886810,19,-16.36,-58.4,95.92,6.06
248,Champerico,40,MX,1565886811,65,16.38,-93.6,82.4,3.94
249,Batagay,0,RU,1565886789,68,67.65,134.64,53.08,4.21
250,Harper,1,US,1565886812,45,30.3,-99.24,93.0,3.36
251,Slupca,86,PL,1565886812,30,52.29,17.87,73.99,8.01
252,Lagoa,0,PT,1565886813,57,37.14,-8.45,87.01,10.29
253,Aksarka,17,RU,1565886813,89,66.56,67.8,52.54,4.72
254,Paka,100,CF,1565886814,97,4.15,15.03,70.54,2.26
255,Posse,0,BR,1565886814,26,-14.08,-46.36,87.46,10.42
256,Antalaha,23,MG,1565886815,98,-14.9,50.28,61.54,3.06
257,Airai,2,TL,1565886774,78,-8.93,125.41,64.96,4.61
258,Aquiraz,20,BR,1565886815,52,-3.9,-38.39,87.8,21.92
259,Yulara,0,AU,1565886721,24,-25.24,130.99,42.8,11.97
260,Sinnamary,40,GF,1565886816,69,5.38,-52.96,82.6,6.42
261,Kaeo,82,NZ,1565886816,94,-35.1,173.78,46.0,3.0
262,Mbaiki,59,CF,1565886817,90,3.87,17.99,71.8,1.1
263,Mutoko,0,ZW,1565886817,70,-17.4,32.23,57.76,7.07
264,Scarborough,78,GB,1565886817,52,54.28,-0.41,68.0,14.99
265,Benguela,0,AO,1565886818,83,-12.58,13.4,71.6,4.7
266,Whitehorse,75,CA,1565886818,82,60.72,-135.06,57.2,8.05
267,Aklavik,90,CA,1565886818,86,68.22,-135.01,41.0,18.34
268,Zhob,11,PK,1565886819,46,31.34,69.45,79.36,4.21
269,Ciudad Bolivar,44,VE,1565886820,62,8.12,-63.55,87.64,3.89
270,Shellbrook,75,CA,1565886820,72,53.22,-106.39,66.2,5.82
271,Talnakh,0,RU,1565886700,82,69.49,88.39,55.4,8.95
272,Telica,100,HN,1565886821,48,14.72,-86.14,83.68,2.89
273,Xunchang,0,CN,1565886821,67,28.45,104.71,70.72,3.87
274,Kruisfontein,0,ZA,1565886709,65,-34.0,24.73,51.64,3.89
275,Adelaide,0,AU,1565886681,72,-34.93,138.6,60.01,11.41
276,Vestmannaeyjar,0,IS,1565886822,76,63.44,-20.27,51.8,16.11
277,Loiza,75,PR,1565886822,70,18.43,-65.88,90.0,18.34
278,Parkent,0,UZ,1565886823,31,41.29,69.68,75.2,5.5
279,Zhigansk,4,RU,1565886824,78,66.77,123.37,51.1,19.08
280,Bundaberg,0,AU,1565886824,87,-24.87,152.35,54.0,5.82
281,Yuzhnyy,100,RU,1565886825,69,53.54,39.45,71.8,5.1
282,Dwarka,75,IN,1565886825,74,28.58,77.04,91.0,6.93
283,Aitape,0,PG,1565886825,82,-3.15,142.36,75.04,3.74
284,Margate,75,AU,1565886826,81,-43.03,147.26,52.0,5.82
285,Isangel,20,VU,1565886799,93,-19.55,169.27,62.6,24.56
286,Seoul,90,KR,1565886074,112,37.57,126.98,77.0,11.86
287,Chapais,75,CA,1565886827,55,49.78,-74.86,62.6,2.24
288,Namibe,90,AO,1565886762,82,-15.19,12.15,68.0,16.11
289,Licata,20,IT,1565886827,58,37.11,13.95,86.0,17.22
290,Warrington,20,GB,1565886828,55,53.39,-2.59,66.0,23.04
291,Savonlinna,75,FI,1565886828,87,61.87,28.88,57.2,5.82
292,Cockburn Town,46,TC,1565886829,78,21.46,-71.14,84.22,18.48
293,Sarangani,95,PH,1565886829,81,5.4,125.46,81.34,9.24
294,Celestun,34,MX,1565886829,75,20.87,-90.4,82.96,9.13
295,Srednekolymsk,0,RU,1565886754,73,67.46,153.71,39.76,10.63
296,Gwadar,4,PK,1565886830,83,25.12,62.33,80.08,4.72
297,Mecca,42,SA,1565886663,49,21.43,39.83,91.78,9.91
298,Karratha,0,AU,1565886695,42,-20.74,116.85,62.62,13.06
299,Kaset Sombun,98,TH,1565886831,96,16.28,101.95,70.9,5.64
300,Beringovskiy,74,RU,1565886831,66,63.05,179.32,41.56,5.1
301,Lavrentiya,100,RU,1565886832,94,65.58,-170.99,39.94,4.38
302,Antofagasta,0,CL,1565886804,59,-23.65,-70.4,69.01,9.17
303,Ligayan,0,PH,1565886832,79,4.65,119.47,82.42,6.6
304,Jiwani,0,PK,1565886833,84,25.05,61.74,80.08,5.57
305,Umm Lajj,5,SA,1565886833,66,25.02,37.27,89.08,9.24
306,Sao Gabriel da Cachoeira,75,BR,1565886833,88,-0.13,-67.09,77.0,4.7
307,Ancud,90,CL,1565886734,93,-41.87,-73.83,46.4,11.41
308,Dabra,75,IN,1565886834,94,25.88,78.33,78.8,13.87
309,Faanui,0,PF,1565886773,79,-16.48,-151.75,78.46,15.3
310,Macapa,40,BR,1565886835,63,0.05,-51.07,91.4,13.87
311,Lucapa,0,AO,1565886835,18,-8.42,20.74,76.12,5.28
312,Ternovka,37,RU,1565886836,60,51.69,41.59,75.76,5.55
313,Yurla,93,RU,1565886836,97,59.33,54.32,58.66,5.93
314,Dunedin,100,NZ,1565886836,81,-45.87,170.5,46.0,5.01
315,Mocuba,21,MZ,1565886837,90,-16.84,36.99,67.3,6.04
316,Toyooka,100,JP,1565886837,93,35.55,134.82,75.22,14.18
317,Roald,0,NO,1565886837,72,62.58,6.12,69.8,17.22
318,Shikhazany,20,RU,1565886838,60,55.56,47.39,73.4,6.71
319,Nelson Bay,0,AU,1565886838,86,-32.72,152.14,53.01,15.57
320,Haines Junction,100,CA,1565886838,69,60.75,-137.51,55.96,1.39
321,Feltre,0,IT,1565886839,47,46.02,11.91,82.99,6.93
322,Gidole,12,ET,1565886839,55,5.65,37.37,73.6,2.19
323,Caravelas,98,BR,1565886839,67,-17.73,-39.27,71.08,19.91
324,Arequipa,0,PE,1565886840,11,-16.4,-71.54,69.8,8.05
325,Buenaventura,100,CO,1565886840,83,3.89,-77.07,79.36,18.88
326,Rosarito,75,CO,1565886841,63,4.91,-75.23,87.8,6.93
327,Lazurne,100,UA,1565886841,54,46.77,34.99,77.2,8.46
328,Poum,40,MK,1565886842,41,41.28,20.71,78.8,10.29
329,Itarema,13,BR,1565886791,44,-2.92,-39.92,90.16,16.26
330,Wilmington Island,20,US,1565886842,66,32.0,-80.97,91.99,5.82
331,Belyy Yar,0,RU,1565886787,82,53.6,91.39,60.8,4.47
332,Sibenik,94,HR,1565886843,63,45.81,17.18,63.52,0.31
333,Poopo,20,BO,1565886843,29,-18.38,-66.97,60.8,6.93
334,Nokaneng,0,BW,1565886843,23,-19.66,22.19,69.64,7.45
335,Dakoro,82,NE,1565886844,42,14.51,6.76,93.04,14.0
336,Corn Island,100,NI,1565886844,85,12.17,-83.04,79.54,12.08
337,LaBelle,75,US,1565886844,70,26.76,-81.44,91.0,6.93
338,Asyut,0,EG,1565886845,25,27.18,31.19,98.6,9.17
339,Taupo,74,NZ,1565886845,38,-38.68,176.08,44.01,3.0
340,Alofi,100,NU,1565886720,100,-19.06,-169.92,69.8,5.82
341,Calama,0,CL,1565886763,5,-22.46,-68.93,73.4,3.36
342,Galbshtadt,100,RU,1565886846,88,53.23,78.98,62.44,3.51
343,Guiratinga,0,BR,1565886847,13,-16.35,-53.76,94.3,9.86
344,Bull Savanna,22,JM,1565886847,74,17.89,-77.59,85.3,17.76
345,Kushima,96,JP,1565886847,88,31.5,131.29,76.12,6.91
346,Aripuana,6,BR,1565886798,19,-9.17,-60.63,99.7,4.79
347,Vestmanna,40,FO,1565886803,76,62.16,-7.17,55.4,12.75
348,Kologriv,66,RU,1565886849,95,58.83,44.31,56.32,8.16
349,Bukama,0,CD,1565886849,25,-9.2,25.85,75.22,4.41
350,Camocim,28,BR,1565886849,36,-2.9,-40.84,94.12,8.46
351,Madison Heights,90,US,1565886850,64,42.49,-83.11,80.01,4.7
352,Vilcun,75,CL,1565886850,81,-38.65,-72.23,52.0,2.24
353,Shimoda,75,JP,1565886850,88,34.7,138.93,84.0,19.46
354,Skibbereen,75,IE,1565886851,68,51.55,-9.27,64.4,13.87
355,Kokstad,0,ZA,1565886851,30,-30.55,29.42,52.0,4.72
356,Tromso,75,NO,1565886852,93,69.65,18.96,53.6,2.24
357,Cayenne,20,GF,1565886853,66,4.94,-52.33,87.8,14.99
358,Dhidhdhoo,41,MV,1565886853,78,6.88,73.1,82.24,10.56
359,Altay,73,CN,1565886854,68,47.83,88.13,56.5,10.67
360,Gukovo,0,RU,1565886854,25,48.05,39.94,87.8,17.9
361,San Carlos de Bariloche,40,AR,1565886855,71,-41.13,-71.31,46.4,10.29
362,Sidi Ali,0,DZ,1565886855,60,36.1,0.42,80.62,20.54
363,Antsohihy,82,MG,1565886856,62,-14.88,47.99,77.56,17.38
364,Porto Walter,0,BR,1565886856,25,-8.27,-72.74,92.14,3.91
365,Conakry,75,GN,1565886856,83,9.52,-13.7,80.6,11.41
366,La Rioja,82,AR,1565886560,30,-29.41,-66.86,55.68,5.06
367,Aldan,56,RU,1565886857,95,58.61,125.39,48.04,2.3
368,Ifo,40,NG,1565886858,74,6.81,3.2,84.2,10.29
369,Kenai,1,US,1565886858,77,60.55,-151.26,63.0,6.93
370,Cloquet,1,US,1565886662,56,46.72,-92.46,73.99,7.31
371,Sistranda,20,NO,1565886858,59,63.73,8.83,64.4,10.29
372,Chabahar,20,IR,1565886611,79,25.29,60.65,86.0,4.7
373,Ixtapa,90,MX,1565886835,94,20.71,-105.21,84.99,12.75
374,Laguna,75,BZ,1565886858,88,16.17,-88.94,82.4,6.93
375,Shitanjing,22,CN,1565886860,30,39.23,106.34,70.0,4.0
